"","Face_response","Face_confidence","Face_Onset_Time","Face_Position","Noise_Number","Face_Size","Opacity","Direction_Report","subnumber","block_number"
"1205",1,4,19.4758022430001,5,221,8,0.7,2,"9MPV3",4
"1206",1,3,25.441009008,-7,283,6,0.4,1,"9MPV3",4
"1207",1,4,30.2901202439998,5,59,9,0.6,2,"9MPV3",4
"1208",1,4,35.320000404,5,357,6,0.5,2,"9MPV3",4
"1209",1,1,39.7826252049999,7,242,8,0.1,1,"9MPV3",4
"1210",1,4,45.0008960599998,-5,351,6,0.3,1,"9MPV3",4
"1211",1,1,49.3514342580002,-7,41,9,0.2,1,"9MPV3",4
"1212",1,4,53.606224866,-5,387,8,0.7,1,"9MPV3",4
"1213",1,4,57.9464762719999,-7,208,9,0.4,1,"9MPV3",4
"1214",1,4,62.310760886,-5,285,9,0.6,1,"9MPV3",4
"1215",1,4,66.7701740540001,7,315,7,0.5,2,"9MPV3",4
"1216",1,1,70.9917291520001,5,304,8,0.1,1,"9MPV3",4
"1217",1,1,75.2238354370002,7,35,8,0.3,1,"9MPV3",4
"1218",1,4,79.9747216350002,-5,134,7,0.2,1,"9MPV3",4
"1219",1,4,84.2529684040001,-7,108,8,0.7,1,"9MPV3",4
"1220",1,4,88.5045391250001,7,174,8,0.4,2,"9MPV3",4
"1221",1,4,0.0241029469998466,5,54,6,0.4,2,"9MPV3",5
"1222",1,1,4.2557370720001,-5,36,8,0.1,1,"9MPV3",5
"1223",1,4,8.9775362219998,5,76,6,0.5,2,"9MPV3",5
"1224",1,4,13.3055302510002,-5,358,9,0.3,1,"9MPV3",5
"1225",1,4,17.494736223,7,16,6,0.7,2,"9MPV3",5
"1226",1,4,22.0310873879998,5,7,6,0.6,2,"9MPV3",5
"1227",1,4,26.3848026659998,-5,104,7,0.2,1,"9MPV3",5
"1228",1,4,30.5541250159999,5,255,6,0.4,2,"9MPV3",5
"1229",1,2,34.8072546489998,5,386,6,0.1,1,"9MPV3",5
"1230",1,4,39.0082144980001,5,315,9,0.5,2,"9MPV3",5
"1231",1,2,43.2145821170002,-7,264,7,0.3,1,"9MPV3",5
"1232",1,4,47.4118966440001,5,222,8,0.7,2,"9MPV3",5
"1233",1,4,51.667298627,7,409,7,0.6,2,"9MPV3",5
"1234",1,1,55.881411067,5,308,6,0.2,1,"9MPV3",5
"1235",1,4,60.4883702500001,-7,90,9,0.4,1,"9MPV3",5
"1236",1,1,64.6727132239998,-5,269,9,0.1,1,"9MPV3",5
"1237",1,4,69.2221997349998,-7,329,7,0.5,1,"9MPV3",5
"1238",1,4,73.7144286990001,-7,396,7,0.3,1,"9MPV3",5
"1239",1,4,77.9127531959998,5,326,7,0.7,2,"9MPV3",5
"1240",1,4,82.2798236889998,-7,35,8,0.6,1,"9MPV3",5
"1241",1,2,0.035233461000189,5,23,7,0.3,2,"9MPV3",6
"1242",1,2,4.15138292300026,-5,8,6,0.2,1,"9MPV3",6
"1243",1,4,8.40073411799995,5,298,6,0.4,2,"9MPV3",6
"1244",1,4,14.0096712750001,-7,176,6,0.6,1,"9MPV3",6
"1245",1,4,18.2988613430002,5,94,9,0.5,2,"9MPV3",6
"1246",1,1,22.969985922,-7,369,8,0.1,1,"9MPV3",6
"1247",1,4,27.2466509229998,-7,314,8,0.7,1,"9MPV3",6
"1248",1,4,31.510029431,-5,396,8,0.3,1,"9MPV3",6
"1249",1,1,35.7915697910003,5,1,9,0.2,1,"9MPV3",6
"1250",1,4,40.4106957580002,7,146,6,0.4,2,"9MPV3",6
"1251",1,4,44.612405461,5,335,7,0.6,2,"9MPV3",6
"1252",1,4,48.866231853,5,73,6,0.5,2,"9MPV3",6
"1253",1,1,53.127617568,-5,155,8,0.1,1,"9MPV3",6
"1254",1,4,57.5133891740002,5,31,8,0.7,2,"9MPV3",6
"1255",1,1,61.7997853900001,7,380,6,0.3,1,"9MPV3",6
"1256",1,1,66.5968232640002,7,241,8,0.2,1,"9MPV3",6
"1257",1,4,71.016424298,5,265,6,0.4,2,"9MPV3",6
"1258",1,4,75.5802416450001,5,364,7,0.6,2,"9MPV3",6
"1259",1,4,80.0080058520002,-7,120,9,0.5,1,"9MPV3",6
"1260",1,1,84.2572812190001,-5,255,7,0.1,1,"9MPV3",6
"1261",1,1,0.0140108129999135,5,178,8,0.3,2,"10MPV3",0
"1262",1,2,6.73182739500044,5,367,9,0.5,2,"10MPV3",0
"1263",1,1,13.473654632,5,73,8,0.2,1,"10MPV3",0
"1264",1,4,20.2975156319999,5,173,9,0.7,2,"10MPV3",0
"1265",1,1,26.7286465799998,7,301,8,0.1,2,"10MPV3",0
"1266",1,1,33.1537478300006,7,415,7,0.6,1,"10MPV3",0
"1267",1,1,39.9215020210004,-7,306,6,0.4,1,"10MPV3",0
"1268",1,1,45.3131144190002,-5,171,7,0.3,1,"10MPV3",0
"1269",1,2,50.8090575730002,-7,410,8,0.5,2,"10MPV3",0
"1270",1,1,56.8893769590004,7,69,7,0.2,2,"10MPV3",0
"1271",1,0,63.9621339410005,7,385,9,0.7,2,"10MPV3",0
"1272",1,3,71.6308100010001,-5,281,9,0.1,1,"10MPV3",0
"1273",1,3,77.9054736710004,7,158,6,0.6,2,"10MPV3",0
"1274",1,2,84.5854927199998,7,31,6,0.4,2,"10MPV3",0
"1275",1,2,91.1297137900001,7,63,7,0.3,2,"10MPV3",0
"1276",1,2,99.1376292650002,5,62,8,0.5,2,"10MPV3",0
"1277",1,1,105.28130083,-5,16,8,0.2,1,"10MPV3",0
"1278",1,3,110.473395496,7,255,8,0.7,2,"10MPV3",0
"1279",1,3,116.481634757,5,125,6,0.1,2,"10MPV3",0
"1280",1,3,122.193069678,-5,177,7,0.6,1,"10MPV3",0
"1281",1,1,0.0184388340003352,-7,10,8,0.3,1,"10MPV3",1
"1282",1,1,6.06063020900001,-7,371,8,0.1,1,"10MPV3",1
"1283",1,1,11.4112079189999,5,29,9,0.2,2,"10MPV3",1
"1284",1,1,16.6272896390001,-5,19,8,0.4,2,"10MPV3",1
"1285",1,1,21.8911418950001,7,300,7,0.6,2,"10MPV3",1
"1286",1,4,27.3069644819998,5,422,8,0.7,2,"10MPV3",1
"1287",1,1,32.7627878080002,-5,334,6,0.5,1,"10MPV3",1
"1288",1,1,37.7073121920002,7,107,8,0.3,2,"10MPV3",1
"1289",1,2,43.5231562449999,7,183,6,0.1,2,"10MPV3",1
"1290",1,1,49.0509274269998,5,67,6,0.2,1,"10MPV3",1
"1291",1,1,54.267315133,7,96,9,0.4,2,"10MPV3",1
"1292",1,1,59.8189885659995,-7,386,8,0.6,1,"10MPV3",1
"1293",1,4,64.7137605669996,-5,367,7,0.7,1,"10MPV3",1
"1294",1,1,69.6503227140001,-7,126,9,0.5,1,"10MPV3",1
"1295",1,3,75.6182622220003,7,230,6,0.3,1,"10MPV3",1
"1296",1,1,81.3460314619997,-5,327,6,0.1,2,"10MPV3",1
"1297",1,1,86.4100601419996,7,340,8,0.2,1,"10MPV3",1
"1298",1,2,91.3137307400002,7,74,9,0.4,2,"10MPV3",1
"1299",1,4,97.1301921129998,-5,236,8,0.6,1,"10MPV3",1
"1300",1,4,102.41057678,-7,330,7,0.7,1,"10MPV3",1
"1301",1,1,0.0190904289993341,7,263,9,0.3,1,"10MPV3",2
"1302",1,2,5.42700497599981,5,295,6,0.4,1,"10MPV3",2
"1303",1,1,11.2271042789998,7,217,9,0.2,2,"10MPV3",2
"1304",1,1,16.1468050789999,7,68,6,0.1,2,"10MPV3",2
"1305",1,4,21.2040531699995,7,409,8,0.7,2,"10MPV3",2
"1306",1,4,26.2275090079993,7,58,8,0.6,2,"10MPV3",2
"1307",1,1,31.1068414479996,-7,266,6,0.5,2,"10MPV3",2
"1308",1,1,36.8672441979998,-5,125,6,0.3,1,"10MPV3",2
"1309",1,2,43.3160174059994,-7,152,9,0.4,2,"10MPV3",2
"1310",1,1,49.2673819539996,-7,39,6,0.2,1,"10MPV3",2
"1311",1,1,54.2132160359997,-7,209,7,0.1,2,"10MPV3",2
"1312",1,4,59.7389810309996,5,118,9,0.7,2,"10MPV3",2
